ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
34,B,Ship,4,bad,234,3,medium,M,4,3261,yes
35,C,Ship,4,bad,227,4,medium,F,22,2460,yes
36,F,Ship,5,good,149,3,medium,F,44,1811,yes
37,D,Ship,3,excellent,137,4,high,F,62,1477,yes
38,F,Ship,2,good,181,6,medium,F,16,3605,yes
39,A,Ship,5,worst,215,4,low,F,56,3905,yes
40,B,Ship,4,bad,269,5,low,F,45,2383,yes
41,C,Ship,5,worst,227,2,low,M,15,3798,yes
42,F,Ship,5,excellent,139,4,medium,M,61,1265,yes
43,D,Ship,3,excellent,137,2,medium,M,38,1647,yes
44,F,Ship,3,worst,174,2,low,M,44,1556,yes
45,A,Ship,3,worst,151,2,low,M,29,1328,yes
46,B,Ship,5,worst,210,3,low,F,9,2944,yes
47,C,Ship,3,good,169,4,medium,F,32,1245,yes
48,F,Ship,5,worst,160,2,low,M,32,1576,yes
49,D,Ship,5,good,190,2,medium,M,9,3753,yes
50,F,Ship,5,ok,216,3,low,F,40,2146,yes
51,A,Ship,4,worst,183,3,low,M,37,2042,yes
52,B,Ship,4,good,141,3,low,M,22,1735,yes
53,C,Ship,4,ok,165,3,low,F,44,1320,yes
54,F,Ship,2,worst,170,3,low,M,41,1128,yes
55,D,Ship,4,ok,203,3,high,M,12,3539,yes
56,F,Ship,2,excellent,246,5,low,M,46,2437,yes
57,A,Ship,3,ok,238,3,low,F,61,3096,yes
58,B,Ship,3,ok,193,3,medium,F,29,3453,yes
59,C,Ship,5,excellent,141,3,high,M,41,1367,yes
60,F,Ship,4,worst,150,3,high,F,17,1923,yes
61,D,Ship,3,worst,221,3,low,F,64,2794,yes
62,F,Ship,3,ok,179,3,medium,M,52,1158,yes
63,A,Ship,5,worst,105,6,medium,M,62,1292,yes
64,B,Ship,3,worst,177,3,medium,M,61,1880,yes
65,C,Ship,4,excellent,261,2,high,M,49,3045,yes
66,F,Ship,3,bad,202,3,low,M,49,2881,yes
67,D,Ship,3,bad,109,3,medium,F,15,1710,yes
68,F,Ship,3,ok,158,3,low,F,6,1878,yes
69,A,Ship,4,bad,231,4,medium,F,6,2512,yes
70,B,Ship,3,excellent,206,3,medium,M,39,2929,yes
71,C,Ship,5,worst,187,4,high,M,14,3849,yes
72,F,Ship,5,excellent,230,2,low,F,2,2229,yes
73,D,Ship,5,excellent,232,3,medium,F,33,2998,yes
74,F,Ship,4,excellent,215,3,medium,F,21,3984,yes
75,A,Ship,6,worst,238,6,low,F,13,2442,yes
76,B,Ship,4,worst,266,3,low,F,23,3775,yes
77,C,Ship,2,ok,158,2,medium,F,36,1788,yes
78,F,Ship,3,ok,113,3,low,F,43,1518,yes
79,D,Ship,3,good,223,3,low,M,18,3959,yes
80,F,Ship,3,excellent,257,2,medium,F,56,3711,yes
81,A,Ship,3,good,180,2,medium,F,49,1942,yes
82,B,Ship,2,excellent,132,3,low,M,18,1759,yes
83,C,Ship,4,good,217,3,high,F,26,2875,yes
84,F,Ship,5,excellent,162,3,high,F,31,1364,yes
85,D,Ship,4,excellent,197,2,medium,F,40,2710,yes
86,F,Ship,3,good,197,3,medium,M,13,2148,yes
87,A,Ship,4,worst,185,2,low,M,44,2910,yes
88,B,Ship,6,bad,278,3,medium,F,3,2974,yes
89,C,Ship,3,ok,229,3,low,M,49,2339,yes
90,F,Ship,4,worst,186,4,medium,F,57,3880,yes
91,D,Ship,5,ok,174,6,high,F,41,1085,yes
92,F,Ship,5,excellent,286,3,low,F,18,3163,yes
93,A,Ship,4,good,175,2,medium,F,7,1188,yes
94,B,Ship,3,ok,219,3,medium,F,17,3387,yes
95,C,Ship,4,worst,213,4,high,F,35,2343,yes
96,F,Ship,2,ok,235,3,low,M,57,2034,yes
97,D,Ship,3,ok,149,2,medium,M,18,1225,yes
98,F,Ship,4,worst,271,2,medium,F,8,2401,yes
99,A,Ship,3,excellent,144,4,medium,M,5,1104,yes
100,B,Ship,4,bad,145,2,medium,M,21,1617,yes
101,C,Ship,5,ok,143,2,medium,M,59,1837,yes
102,F,Ship,5,excellent,227,4,low,M,53,2624,yes
103,D,Ship,2,worst,213,3,low,M,29,2732,yes
104,F,Ship,5,worst,144,4,low,M,37,1658,yes
105,A,Ship,3,ok,218,3,low,M,3,2255,yes
106,B,Ship,4,bad,144,3,medium,M,59,1588,yes
107,C,Ship,3,worst,238,3,low,M,17,2624,yes
108,F,Ship,4,excellent,216,3,high,M,26,2053,yes
109,D,Ship,4,excellent,238,3,high,F,55,3257,yes
110,F,Ship,4,worst,141,3,medium,M,47,1250,yes
111,A,Road,3,worst,158,2,low,M,2,1284,yes
112,B,Road,4,bad,239,3,low,F,65,3679,yes
113,C,Road,4,ok,175,2,low,M,25,1816,yes
114,F,Road,3,bad,263,3,low,M,41,2817,yes
115,D,Road,3,excellent,168,2,high,M,50,1616,yes
116,F,Road,3,good,176,3,high,M,36,1779,yes
117,A,Road,4,worst,150,4,high,M,60,1024,yes
118,B,Road,4,ok,265,2,medium,F,31,2326,yes
119,C,Road,2,excellent,263,3,low,F,5,2947,yes
120,F,Road,5,worst,145,3,low,M,20,1387,yes
121,D,Road,4,bad,183,3,low,F,33,2741,yes
122,F,Road,3,ok,205,3,medium,F,19,2167,yes
123,A,Road,4,bad,160,3,low,M,64,1714,yes
124,B,Road,3,ok,252,2,medium,F,48,2102,yes
125,C,Road,5,excellent,222,3,low,M,10,2280,yes
126,F,Road,3,ok,203,2,low,M,25,3607,yes
127,D,Road,4,excellent,220,3,medium,M,40,3516,yes
128,F,Road,3,ok,147,4,low,F,60,1722,yes
129,A,Road,4,good,200,4,medium,M,16,2060,yes
130,B,Road,4,excellent,224,4,medium,M,21,2026,yes
131,C,Road,3,excellent,179,2,low,F,17,1364,yes
132,F,Road,3,good,144,3,low,M,50,1865,yes
133,D,Flight,5,bad,247,3,low,M,17,3889,yes
134,F,Flight,5,good,280,6,medium,F,51,3582,yes
135,A,Flight,3,ok,168,2,medium,F,1,1829,yes
136,B,Flight,3,excellent,157,3,medium,F,4,1889,yes
137,C,Flight,3,ok,189,4,medium,F,51,2208,yes
138,F,Flight,3,excellent,162,2,medium,M,7,1739,yes
139,D,Flight,4,worst,207,5,low,M,48,2399,yes
140,F,Flight,5,worst,237,2,low,F,10,3860,yes
141,A,Flight,4,good,264,3,high,M,59,2020,yes
142,B,Flight,5,good,149,3,low,M,51,1645,yes
143,C,Flight,5,excellent,162,3,low,M,41,1462,yes
144,F,Flight,2,worst,205,4,medium,F,63,2156,yes
145,D,Flight,2,worst,158,3,medium,F,51,1540,yes
146,F,Flight,2,bad,248,2,low,M,46,3707,yes
147,A,Flight,3,excellent,191,3,low,M,23,3750,yes
148,B,Flight,4,ok,146,4,medium,F,24,1844,yes
149,C,Flight,3,ok,135,3,low,M,56,1490,yes
150,F,Flight,5,worst,149,3,low,M,40,1062,yes
151,D,Flight,4,good,220,2,medium,F,7,2551,yes
152,F,Flight,5,ok,98,5,medium,M,44,1269,yes
153,A,Flight,3,good,97,4,low,M,32,1238,yes
154,B,Flight,3,ok,183,2,low,M,53,3932,yes
155,C,Ship,3,ok,162,3,medium,F,8,1869,yes
156,F,Ship,5,worst,114,4,low,F,47,1443,yes
157,D,Ship,6,ok,275,5,low,M,41,2491,yes
158,F,Ship,3,bad,203,2,medium,F,39,3845,yes
159,A,Ship,5,excellent,205,2,high,M,65,3671,yes
160,B,Ship,3,ok,149,3,low,F,63,1946,yes
161,C,Ship,2,bad,112,4,medium,M,56,1138,yes
162,F,Ship,3,worst,207,3,medium,F,56,3482,yes
163,D,Ship,4,worst,261,4,low,F,58,3427,yes
164,F,Ship,5,bad,274,3,medium,M,6,3375,yes
165,A,Ship,3,excellent,141,2,low,M,52,1692,yes
166,B,Ship,3,ok,166,4,medium,F,17,1498,yes
167,C,Ship,5,bad,141,3,high,F,34,1020,yes
168,F,Ship,4,excellent,152,3,low,M,43,1709,yes
169,D,Ship,4,bad,250,3,low,F,53,2478,yes
170,F,Ship,4,ok,161,3,medium,F,28,1809,yes
171,A,Ship,4,ok,185,3,medium,F,10,2263,yes
172,B,Ship,4,good,176,4,high,F,52,1096,yes
173,C,Ship,3,good,148,3,low,M,56,1550,yes
174,F,Ship,3,bad,270,3,low,F,63,2751,yes
175,D,Ship,3,ok,242,3,low,F,51,3935,yes
176,F,Ship,4,good,150,2,medium,M,3,1285,yes
177,A,Ship,4,excellent,192,3,high,M,20,3872,yes
178,B,Ship,4,excellent,116,3,medium,M,54,1314,yes
179,C,Ship,3,ok,192,3,medium,F,2,3995,yes
180,F,Ship,5,excellent,255,4,medium,M,3,3440,yes
181,D,Ship,4,worst,161,7,medium,F,18,1294,yes
182,F,Ship,4,excellent,157,3,low,M,20,1487,yes
183,A,Ship,3,bad,164,10,high,F,28,1940,yes
184,B,Ship,3,excellent,162,7,medium,F,16,1052,yes
185,C,Ship,3,ok,146,2,low,M,50,1486,yes
186,F,Ship,3,bad,209,3,medium,M,54,3001,yes
187,D,Ship,5,good,134,2,medium,F,55,1386,yes
188,F,Ship,2,worst,222,2,medium,M,5,3778,yes
189,A,Ship,2,excellent,139,3,low,F,27,1233,yes
190,B,Ship,2,good,134,3,low,F,42,1415,yes
191,C,Ship,2,excellent,130,3,low,M,16,1092,yes
192,F,Ship,2,excellent,133,3,low,F,62,1596,yes
193,D,Ship,2,good,140,3,low,F,7,1411,yes
194,F,Ship,2,bad,158,3,low,M,28,1968,yes
195,A,Ship,4,bad,270,4,low,F,46,1736,yes
196,B,Ship,2,excellent,140,3,low,F,30,1030,yes
197,C,Ship,2,bad,135,3,low,M,15,1339,yes
198,F,Ship,2,ok,136,3,low,F,19,1568,yes
199,D,Ship,2,ok,142,3,medium,F,38,7640,yes
200,F,Ship,2,bad,154,3,medium,M,38,7846,yes
201,A,Ship,2,ok,139,3,low,M,9,1471,yes
202,B,Ship,2,ok,160,3,low,F,43,1251,yes
203,C,Ship,2,good,134,3,low,M,58,1067,yes
204,F,Ship,5,ok,161,5,high,M,48,1883,yes
205,D,Ship,2,excellent,155,3,low,M,23,1602,yes
206,F,Ship,2,ok,145,3,medium,F,24,7588,yes
207,A,Ship,2,bad,157,3,low,M,1,1477,yes
208,B,Ship,2,bad,160,3,low,M,48,1691,yes
209,C,Ship,2,good,152,3,low,M,55,1498,yes
210,F,Ship,2,excellent,148,3,high,F,11,1502,yes
211,D,Ship,2,worst,127,3,low,F,15,1522,yes
212,F,Ship,2,excellent,154,3,low,F,21,1113,yes
213,A,Ship,2,excellent,127,3,low,M,44,1341,yes
214,B,Ship,2,excellent,160,3,medium,F,31,7401,yes
215,C,Ship,2,good,129,3,low,F,48,1219,yes
216,F,Ship,2,excellent,158,3,low,F,40,1722,yes
217,D,Ship,4,ok,185,3,medium,M,3,3131,yes
218,F,Ship,4,good,176,4,high,F,63,1293,yes
219,A,Ship,3,good,148,3,low,M,37,1523,yes
220,B,Ship,3,excellent,270,3,low,M,60,3885,yes
221,C,Ship,3,good,242,3,low,M,29,2381,yes
222,F,Ship,4,ok,150,2,medium,M,31,1588,yes
223,D,Ship,4,bad,192,3,high,M,4,2061,yes
224,F,Ship,4,excellent,116,3,medium,F,9,1314,yes
225,A,Ship,3,good,192,3,medium,F,31,3331,yes
226,B,Ship,5,good,255,4,medium,F,38,2771,yes
227,C,Ship,4,ok,161,7,medium,M,63,1496,yes
228,F,Ship,4,bad,157,3,low,F,48,1393,yes
229,D,Ship,3,bad,164,10,high,M,14,1375,yes
230,F,Ship,3,ok,162,7,medium,F,42,1278,yes
231,A,Ship,3,worst,146,2,low,F,54,1528,yes
232,B,Ship,3,good,209,3,medium,F,60,2240,yes
233,C,Ship,5,excellent,134,2,medium,M,53,1088,yes
234,F,Ship,2,worst,222,2,medium,M,58,3626,yes
235,D,Ship,2,worst,139,3,low,F,39,1582,yes
236,F,Ship,2,bad,134,3,low,M,38,1352,yes
237,A,Ship,2,ok,130,3,low,F,48,1801,yes
238,B,Ship,2,bad,133,3,low,M,5,1268,yes
239,C,Ship,2,ok,140,3,low,F,23,1372,yes
240,F,Ship,2,ok,158,3,low,M,10,1515,yes
241,D,Ship,4,excellent,270,4,low,M,65,1818,yes
242,F,Ship,2,good,140,3,low,F,33,1278,yes
243,A,Ship,2,bad,135,3,low,M,58,1734,yes
244,B,Ship,2,good,136,3,low,M,43,1958,yes
245,C,Ship,2,worst,142,3,medium,F,8,6064,yes
246,F,Ship,2,good,154,3,medium,F,48,7684,yes
247,D,Ship,2,ok,139,3,low,F,3,1788,yes
248,F,Road,2,good,160,3,low,F,50,1030,yes
249,A,Road,2,bad,134,3,low,F,38,1530,yes
250,B,Road,5,excellent,161,5,high,F,54,1511,yes
251,C,Road,2,ok,155,3,low,F,45,1639,yes
252,F,Road,2,bad,145,3,medium,F,5,6102,yes
253,D,Road,2,worst,157,3,low,M,58,1930,yes
254,F,Road,2,excellent,160,3,low,F,19,1399,yes
255,A,Road,2,bad,152,3,low,F,61,1800,yes
256,B,Road,2,bad,148,3,high,F,35,1349,yes
257,C,Road,2,bad,127,3,low,M,13,1128,yes
258,F,Road,2,bad,129,3,medium,F,22,6614,yes
259,D,Road,2,ok,158,3,low,F,13,1245,yes
260,F,Road,2,good,147,3,low,M,5,1920,yes
261,A,Road,2,excellent,159,3,low,F,49,1621,yes
262,B,Road,2,ok,151,3,low,F,23,1930,yes
263,C,Road,3,worst,294,4,low,F,52,1089,yes
264,F,Road,3,bad,226,2,medium,M,45,1446,yes
265,D,Road,5,ok,271,5,high,M,9,1813,yes
266,F,Road,7,bad,203,5,medium,F,61,1856,yes
267,A,Road,2,ok,264,4,low,F,10,1648,yes
268,B,Road,4,worst,258,3,medium,M,36,2211,yes
269,C,Road,3,excellent,241,3,low,F,21,3078,yes
270,F,Flight,4,excellent,208,3,medium,M,23,2056,yes
271,D,Flight,3,bad,209,5,medium,F,12,3054,yes
272,F,Flight,5,worst,182,2,medium,F,23,2707,yes
273,A,Flight,4,excellent,148,2,medium,F,43,1087,yes
274,B,Flight,2,ok,183,2,medium,F,52,3199,yes
275,C,Flight,3,excellent,229,6,medium,M,22,2717,yes
276,F,Flight,5,excellent,115,5,low,F,26,1692,yes
277,D,Flight,4,bad,136,3,low,F,65,1962,yes
278,F,Flight,4,good,212,3,low,M,21,3307,yes
279,A,Flight,4,ok,171,3,low,F,24,1304,yes
280,B,Flight,3,worst,151,2,low,M,60,1925,yes
281,C,Flight,3,worst,205,3,medium,M,39,3062,yes
282,F,Flight,5,good,147,3,medium,M,23,1132,yes
283,D,Flight,3,ok,155,3,low,F,29,1712,yes
284,F,Flight,5,good,165,3,low,F,20,1150,yes
285,A,Flight,5,excellent,230,3,low,F,32,3249,yes
286,B,Flight,2,good,181,4,medium,M,13,2309,yes
287,C,Flight,5,ok,234,2,low,F,55,3308,yes
288,F,Flight,4,good,149,3,low,M,34,1977,yes
289,D,Flight,5,excellent,156,2,low,M,44,1561,yes
290,F,Flight,4,bad,172,3,medium,F,59,1858,yes
291,A,Flight,4,good,270,3,low,M,12,3279,yes
292,B,Ship,4,worst,206,3,medium,M,23,3807,yes
293,C,Ship,4,ok,211,4,medium,M,40,3106,yes
294,F,Ship,3,bad,136,4,low,M,62,1090,yes
295,D,Ship,5,worst,186,2,high,F,52,3981,yes
296,F,Ship,3,worst,202,2,medium,M,62,3398,yes
297,A,Ship,4,bad,183,3,medium,F,12,3646,yes
298,B,Ship,4,good,232,2,low,M,36,2861,yes
299,C,Ship,4,bad,147,4,medium,M,52,1129,yes
300,F,Ship,4,ok,136,3,medium,M,20,1531,yes
301,D,Ship,5,ok,127,3,low,F,43,1446,yes
302,F,Ship,4,excellent,202,2,medium,M,35,3695,yes
303,A,Ship,3,good,241,2,low,M,57,3671,yes
304,B,Ship,4,ok,222,2,medium,M,55,3833,yes
305,C,Ship,3,bad,183,4,medium,F,12,2777,yes
306,F,Ship,4,good,249,3,medium,F,36,3769,yes
307,D,Ship,3,worst,243,4,high,M,59,3838,yes
308,F,Ship,3,ok,163,3,medium,M,9,1257,yes
309,A,Ship,4,bad,165,2,high,M,11,1596,yes
310,B,Ship,5,excellent,266,3,medium,F,53,3089,yes
311,C,Ship,3,good,193,2,medium,M,48,3909,yes
312,F,Ship,3,bad,154,3,low,F,56,1136,yes
313,D,Ship,3,ok,140,3,medium,M,51,1046,yes
314,F,Ship,4,ok,272,3,medium,M,38,3705,yes
315,A,Ship,4,bad,143,6,medium,M,20,1654,yes
316,B,Ship,4,bad,138,3,low,F,30,1805,yes
317,C,Ship,4,bad,238,2,high,M,17,3358,yes
318,F,Ship,4,excellent,273,4,medium,F,31,2373,yes
319,D,Ship,3,worst,200,2,medium,M,27,2551,yes
320,F,Ship,4,excellent,213,4,low,M,39,2381,yes
321,A,Ship,3,good,224,2,medium,F,15,2701,yes
322,B,Ship,4,excellent,141,3,medium,M,12,1672,yes
323,C,Ship,3,ok,150,3,low,M,46,1040,yes
324,F,Ship,3,worst,192,2,low,M,33,2818,yes
325,D,Ship,5,worst,279,4,medium,F,24,3440,yes
326,F,Ship,3,good,246,3,medium,M,30,3748,yes
327,A,Ship,3,good,173,3,medium,M,52,1587,yes
328,B,Ship,4,good,233,4,medium,F,59,2358,yes
329,C,Ship,5,worst,274,2,medium,M,24,2423,yes
330,F,Ship,4,excellent,243,4,medium,F,41,2782,yes
331,D,Ship,3,good,197,3,medium,F,56,3427,yes
332,F,Ship,4,ok,140,3,high,F,46,1072,yes
333,A,Ship,3,excellent,215,3,medium,F,22,2585,yes
334,B,Ship,3,good,211,3,medium,M,8,3710,yes
335,C,Ship,4,bad,220,5,low,M,33,2854,yes
336,F,Ship,3,worst,194,4,low,M,64,2026,yes
337,D,Ship,5,worst,262,3,medium,F,58,3599,yes
338,F,Ship,4,good,201,2,low,F,1,3147,yes
339,A,Ship,3,excellent,261,3,medium,M,15,2989,yes
340,B,Ship,4,good,191,6,low,F,60,3425,yes
341,C,Ship,2,excellent,255,5,medium,F,53,3775,yes
342,F,Ship,3,bad,169,2,high,M,30,1698,yes
343,D,Ship,4,excellent,162,2,medium,M,64,1918,yes
344,F,Ship,2,excellent,248,6,low,F,62,2750,yes
345,A,Ship,5,ok,197,4,low,F,2,2222,yes
346,B,Ship,5,worst,264,3,low,M,6,2882,yes
347,C,Ship,5,excellent,260,2,medium,F,55,2791,yes
348,F,Ship,5,ok,186,2,medium,F,58,2259,yes
349,D,Ship,4,excellent,233,4,low,F,44,2551,yes
350,F,Ship,5,worst,161,3,low,M,47,1954,yes
351,A,Ship,4,excellent,188,3,low,F,13,2409,yes
352,B,Ship,5,excellent,171,2,medium,F,22,1695,yes
353,C,Ship,2,bad,267,3,medium,M,15,2481,yes
354,F,Ship,4,ok,255,2,high,M,47,2956,yes
355,D,Ship,3,bad,132,3,low,F,56,1303,yes
356,F,Ship,5,worst,266,3,low,F,31,3157,yes
357,A,Ship,3,good,198,2,low,M,25,2774,yes
358,B,Ship,2,ok,247,2,medium,F,62,3127,yes
359,C,Ship,3,worst,140,3,medium,F,65,1291,yes
360,F,Ship,4,ok,131,5,low,M,6,1659,yes
361,D,Ship,5,bad,246,3,medium,M,49,3236,yes
362,F,Ship,3,bad,159,3,medium,F,4,1681,yes
363,A,Ship,3,excellent,203,2,medium,M,61,3642,yes
364,B,Ship,4,ok,187,4,high,F,29,3141,yes
365,C,Ship,6,bad,146,3,low,F,62,1936,yes
366,F,Ship,3,bad,234,3,medium,M,39,2099,yes
367,D,Ship,3,good,122,3,high,F,15,1354,yes
368,F,Ship,3,ok,135,3,low,M,8,1074,yes
369,A,Ship,3,excellent,103,3,low,M,3,1403,yes
370,B,Ship,3,excellent,257,3,medium,F,19,2173,yes
371,C,Ship,4,ok,169,2,low,M,2,1399,yes
372,F,Ship,4,excellent,159,3,medium,M,18,1808,yes
373,D,Ship,4,excellent,188,3,low,M,38,3031,yes
374,F,Ship,5,worst,136,3,medium,M,19,1420,yes
375,A,Ship,5,worst,227,3,low,F,19,3007,yes
376,B,Ship,3,excellent,262,2,low,F,53,3275,yes
377,C,Ship,2,ok,157,2,low,M,45,1965,yes
378,F,Ship,5,ok,238,2,medium,F,21,2053,yes
379,D,Ship,3,excellent,152,3,low,M,43,1282,yes
380,F,Ship,3,bad,201,3,medium,M,5,2040,yes
381,A,Ship,3,good,148,2,low,M,54,1778,yes
382,B,Ship,5,bad,199,4,low,F,59,2885,yes
383,C,Ship,5,good,215,2,low,F,45,3501,yes
384,F,Ship,4,excellent,175,2,low,M,40,1270,yes
385,D,Road,4,ok,236,2,high,M,23,3123,yes
386,F,Road,2,excellent,182,2,medium,F,57,2896,yes
387,A,Road,3,worst,251,3,medium,M,42,3698,yes
388,B,Road,5,bad,173,3,low,F,7,1855,yes
389,C,Road,4,ok,225,3,low,F,62,2587,yes
390,F,Road,4,bad,167,4,low,F,20,1705,yes
391,D,Road,4,worst,259,3,low,M,20,2154,yes
392,F,Road,4,worst,178,3,medium,F,63,1573,yes
393,A,Road,4,good,178,4,medium,F,13,1614,yes
394,B,Road,5,good,169,2,low,F,20,1765,yes
395,C,Road,3,bad,272,2,low,M,33,2321,yes
396,F,Road,4,good,183,3,low,M,29,3251,yes
397,D,Road,3,good,205,3,low,F,10,2728,yes
398,F,Road,2,worst,123,4,low,F,53,1036,yes
399,A,Road,4,ok,152,3,low,M,58,1453,yes
400,B,Road,3,worst,220,2,high,F,40,3773,yes
401,C,Road,4,ok,134,3,low,M,51,1965,yes
402,F,Road,3,bad,217,2,high,M,19,2992,yes
403,D,Road,3,bad,265,3,low,F,49,2791,yes
404,F,Road,4,bad,249,5,medium,M,36,3836,yes
405,A,Road,5,ok,213,4,medium,F,50,2003,yes
406,B,Road,2,bad,124,3,low,F,56,1494,yes
407,C,Flight,4,worst,180,2,low,M,23,1193,yes
408,F,Flight,4,excellent,193,3,medium,M,65,2267,yes
409,D,Flight,3,bad,192,3,medium,M,43,3339,yes
410,F,Flight,2,excellent,166,3,medium,M,3,1832,yes
411,A,Flight,3,bad,264,3,medium,M,5,3861,yes
412,B,Flight,3,good,200,2,medium,M,14,3528,yes
413,C,Flight,4,ok,142,4,medium,M,12,1396,yes
414,F,Flight,4,worst,215,2,low,M,32,3066,yes
415,D,Flight,2,worst,218,2,low,M,15,2745,yes
416,F,Flight,3,bad,115,3,low,F,27,1814,yes
417,A,Flight,4,ok,159,3,low,M,33,1330,yes
418,B,Flight,5,excellent,133,3,low,M,63,1218,yes
419,C,Flight,5,bad,178,3,low,M,48,1517,yes
420,F,Flight,4,bad,134,2,low,F,43,1714,yes
421,D,Flight,3,worst,184,5,medium,F,58,2544,yes
422,F,Flight,4,bad,251,2,medium,M,24,2405,yes
423,A,Flight,3,bad,141,3,low,M,7,1933,yes
424,B,Flight,4,good,229,2,medium,M,45,3776,yes
425,C,Flight,4,worst,203,4,low,M,34,3813,yes
426,F,Flight,4,ok,158,3,medium,F,57,1911,yes
427,D,Flight,3,good,167,3,medium,M,52,1755,yes
428,F,Flight,5,good,197,4,low,F,40,3303,yes
429,A,Ship,2,bad,140,3,low,F,19,1806,yes
430,B,Ship,5,worst,205,2,medium,M,27,3569,yes
431,C,Ship,5,excellent,208,3,low,F,45,2018,yes
432,F,Ship,4,bad,96,3,low,M,22,1294,yes
433,D,Ship,6,good,205,3,low,F,44,2064,yes
434,F,Ship,4,bad,215,3,medium,F,48,2953,yes
435,A,Ship,4,worst,216,3,low,F,43,2643,yes
436,B,Ship,3,worst,112,2,high,M,22,1846,yes
437,C,Ship,5,good,222,3,low,F,20,3632,yes
438,F,Ship,5,bad,186,3,medium,F,15,2153,yes
439,D,Ship,3,excellent,241,3,medium,M,48,2841,yes
440,F,Ship,3,ok,172,3,low,F,58,1269,yes
441,A,Ship,3,excellent,251,2,high,M,23,2426,yes
442,B,Ship,5,ok,190,3,high,M,45,2628,yes
443,C,Ship,4,ok,186,2,medium,F,48,2805,yes
444,F,Ship,4,good,207,2,medium,M,35,2596,yes
445,D,Ship,3,ok,135,3,low,F,19,1366,yes
446,F,Ship,4,good,189,2,medium,F,18,2955,yes
447,A,Ship,4,good,173,5,medium,F,51,1691,yes
448,B,Ship,3,good,194,3,medium,M,3,2169,yes
449,C,Ship,3,worst,183,3,low,M,19,3018,yes
450,F,Ship,4,ok,140,2,low,F,22,1248,yes
451,D,Ship,4,good,244,3,medium,F,55,2782,yes
452,F,Ship,2,ok,189,4,low,M,34,3355,yes
453,A,Ship,3,bad,157,2,medium,M,53,1390,yes
454,B,Ship,4,worst,275,10,medium,F,23,2726,yes
455,C,Ship,4,excellent,133,3,low,F,53,1467,yes
456,F,Ship,4,worst,149,3,medium,M,54,1178,yes
457,D,Ship,3,ok,254,2,high,M,17,3153,yes
458,F,Ship,3,good,145,8,low,F,15,1429,yes
459,A,Ship,3,bad,179,5,low,F,52,1991,yes
460,B,Ship,5,bad,168,3,low,M,26,1526,yes
461,C,Ship,4,worst,202,3,medium,F,18,3940,yes
462,F,Ship,3,good,220,7,low,M,43,2620,yes
463,D,Ship,3,good,244,8,low,M,1,2703,yes
464,F,Ship,4,bad,186,7,medium,F,40,3111,yes
465,A,Ship,5,bad,263,8,medium,M,24,3139,yes
466,B,Ship,3,bad,294,4,low,F,15,1318,yes
467,C,Ship,3,excellent,226,2,medium,F,2,1043,yes
468,F,Ship,4,good,173,5,medium,F,2,1175,yes
469,D,Ship,3,excellent,194,3,medium,F,10,2277,yes
470,F,Ship,3,excellent,183,3,low,F,2,3459,yes
471,A,Ship,4,worst,140,2,low,M,61,1770,yes
